DATE,TOTALDEMAND,PRICECATEGORY,min_temp,max_temp,rain,evap,sun,dir_max_wind,speed_max_wind,time_max_wind,9am_temp,9am_humid,9am_cloud,9am_wind_dir,9am_wind_speed,9am_press,3pm_temp,3pm_humid,3pm_cloud,3pm_wind_dir,3pm_wind_speed,3pm_press
22/08/2021,5325.33,MEDIUM,11.3,22.2,0,4,10.6,0,57,14:54,14.6,62,1,0,20,1014.5,21.6,37,1,337.5,37,1007.8
23/01/2021,6220.45,MEDIUM,14.7,26.7,0,7.4,11.6,180,30,14:42,18.3,72,2,-1,0,1013.1,22.7,63,0,225,13,1010.9
23/02/2021,5213.07,LOW,13.1,19.2,0,7.2,8.5,157.5,43,5:09,16.4,49,6,157.5,15,1018.7,18.2,45,4,202.5,17,1019.4
23/03/2021,5618.16,EXTREME,17.6,22,13.8,0.6,0.6,202.5,30,14:29,17.8,100,7,157.5,4,1007.6,21,78,7,202.5,11,1002.5
23/04/2021,6154.8,EXTREME,12.1,17.3,0.4,3,2,247.5,31,9:24,14.7,66,7,270,11,1018.6,16.4,51,7,247.5,9,1018.5
23/05/2021,5999.22,EXTREME,6.1,20.2,0,3.4,8.8,337.5,24,13:50,8.7,78,3,22.5,11,1027.4,20.1,42,3,22.5,13,1024.9
23/06/2021,7077.89,HIGH,5.6,15.3,0,2.7,2.1,0,46,10:33,13.9,63,8,0,9,1019.4,14.8,67,7,0,17,1012.5
23/07/2021,7329.83,EXTREME,7.8,11.3,0,0.6,1.5,0,31,1:36,8.2,80,7,0,7,1006.8,10.9,64,7,0,13,1003.6
23/08/2021,6708.96,HIGH,10.8,14.3,0.8,7,5.4,315,50,0:12,11.2,67,3,247.5,11,1011.1,11.7,54,5,247.5,9,1012.2
24/01/2021,8050.72,HIGH,16.1,37.8,0,8.8,8.1,202.5,17,14:58,22.5,67,1,67.5,6,1010.9,33.6,37,7,202.5,6,1007
24/02/2021,5459.82,LOW,13,20.2,0,5,9.9,180,35,13:42,15.3,55,7,112.5,9,1020.5,18.5,53,7,202.5,19,1017.8
24/03/2021,5549.13,MEDIUM,17,20.3,0.6,2.2,1.7,180,33,13:40,17.5,100,7,270,4,999.9,19.3,85,7,180,17,999.7
24/04/2021,5763.75,HIGH,13.1,18.3,0,3.2,1.8,315,30,13:06,15.1,56,7,337.5,15,1023.2,17.3,58,7,157.5,2,1021.8
24/05/2021,6354.64,MEDIUM,6.8,19.9,0,2.6,4.8,45,31,12:40,10.7,73,7,45,9,1027.4,18.4,47,6,0,13,1023.4
24/06/2021,6787.77,EXTREME,9.8,16.7,0,1,5.2,0,41,12:07,12.6,85,1,0,6,1007.2,15.3,54,7,0,17,1004.9
24/07/2021,6492.94,HIGH,7.5,14.4,0,1.4,3.4,337.5,48,14:46,9.5,78,7,0,19,998.2,13.9,53,5,337.5,19,995.3
24/08/2021,6717.65,HIGH,6.4,13.1,10.4,4,6.2,180,39,9:38,10.8,53,7,157.5,17,1021.5,11.7,55,6,180,17,1021.6
25/01/2021,8196.83,HIGH,22.2,39.2,0,13.8,3.5,270,54,15:37,30.9,25,5,0,13,1001.3,26.6,47,7,247.5,11,999.6
25/02/2021,5504.37,LOW,11.3,24.3,0,5.8,8.7,202.5,39,19:08,13.4,72,7,90,4,1012.8,23.4,37,2,270,11,1009.1
25/03/2021,5385.08,HIGH,15.5,21.1,4.6,2.8,3.1,292.5,31,4:55,15.7,87,7,270,9,1005.3,19.8,52,7,292.5,13,1006.4
25/04/2021,5835.47,HIGH,9.9,17.8,2.6,1.2,3.6,202.5,24,19:10,12.8,83,6,0,2,1027,16,70,7,202.5,4,1025.2
25/05/2021,6347.45,HIGH,10.6,20.9,0,5.6,3.2,0,57,12:48,18.4,50,6,22.5,20,1015.3,15.5,76,8,0,22,1009.6
25/06/2021,6855.19,HIGH,10.6,13.2,0.6,2.4,0.3,0,37,0:05,11,88,7,0,13,1010.3,12.6,94,7,-1,0,1011.1
25/07/2021,6817.65,HIGH,5.8,13,0.8,3.6,7.2,337.5,48,14:35,8.1,60,1,315,19,1003.6,12.5,47,7,315,13,1004.8
25/08/2021,6736.8,EXTREME,8,14.1,2.2,1.2,5.4,180,37,16:26,12.1,73,3,157.5,15,1023.3,13.4,59,6,202.5,17,1021.8
26/01/2021,5035.74,MEDIUM,17.7,19.3,10.6,8.6,0.1,202.5,35,13:20,17.7,100,8,202.5,13,1002.3,18.3,71,8,202.5,17,1006.2
